system:index,B2,B3,B4,B8,B11,ndvi,ndwi,classification,landcover
1_2_41_90_0,0.0227,0.0411,0.0275,0.2726,0.1616,0.81672776,-0.73796624,2,2
1_2_41_91_0,0.0447,0.0634,0.0638,0.2668,0.2167,0.61403507,-0.6159903,2,2
1_2_41_92_0,0.0468,0.0643,0.0651,0.22,0.2005,0.54331815,-0.54766095,2,2
1_2_41_94_0,0.0281,0.0454,0.0374,0.2147,0.1517,0.70329237,-0.6509035,2,2
1_2_41_96_0,0.0253,0.0408,0.0343,0.2076,0.1526,0.71641177,-0.6714976,2,2
1_2_41_98_0,0.0248,0.0415,0.0322,0.2287,0.1633,0.75316215,-0.69282013,2,2
1_2_41_106_0,0.031,0.0485,0.0413,0.2152,0.1655,0.67797273,-0.63215774,2,2
1_2_41_110_0,0.0296,0.0452,0.0384,0.2014,0.151,0.6797331,-0.63341445,2,2
1_2_41_111_0,0.0255,0.0438,0.0319,0.2243,0.1296,0.7509758,-0.6732562,2,2
1_2_41_121_0,0.047,0.0635,0.0645,0.2082,0.1905,0.5269527,-0.5325727,0,2
1_2_41_122_0,0.0327,0.0493,0.0487,0.2003,0.1726,0.60883534,-0.60496795,2,2
1_2_41_123_0,0.0334,0.0519,0.0491,0.2081,0.168,0.61819595,-0.6007692,2,2
1_2_41_124_0,0.0334,0.0519,0.0491,0.2081,0.168,0.61819595,-0.6007692,2,2
1_2_41_127_0,0.0359,0.0533,0.0554,0.2122,0.2072,0.5859492,-0.5984934,2,2
1_2_41_128_0,0.0359,0.0533,0.0554,0.2122,0.2072,0.5859492,-0.5984934,2,2
1_2_41_129_0,0.0309,0.0441,0.0448,0.1873,0.1724,0.6139595,-0.6188418,2,2
1_2_41_131_0,0.0435,0.0601,0.0647,0.2162,0.1864,0.5393378,-0.5649656,2,2
1_2_41_133_0,0.034,0.0544,0.0486,0.2349,0.1803,0.6571429,-0.6239198,2,2
1_2_41_134_0,0.0223,0.0412,0.029,0.2368,0.1353,0.7817908,-0.7035971,2,2
1_2_41_136_0,0.024,0.0388,0.0321,0.1876,0.1385,0.70778334,-0.6572438,2,2
1_2_41_137_0,0.024,0.0388,0.0321,0.1876,0.1385,0.70778334,-0.6572438,2,2
1_2_41_139_0,0.0222,0.0375,0.0286,0.1988,0.1105,0.7484609,-0.6826069,2,2
1_2_41_142_0,0.022,0.0423,0.0281,0.2411,0.1182,0.7912333,-0.701482,2,2
1_2_41_143_0,0.0172,0.0329,0.0216,0.1953,0.1058,0.8008299,-0.71165645,2,2
1_2_41_146_0,0.0213,0.0442,0.0232,0.2918,0.1227,0.8526984,-0.73690474,2,2
1_2_41_148_0,0.0246,0.0416,0.0326,0.2157,0.1346,0.7374144,-0.67664206,2,2
1_2_41_152_0,0.0357,0.0527,0.0502,0.1958,0.1498,0.5918699,-0.57585514,2,2
1_2_41_158_0,0.0325,0.0509,0.0494,0.2271,0.1906,0.6426763,-0.63381296,2,2
1_2_41_162_0,0.0229,0.0459,0.0285,0.2629,0.1408,0.8043926,-0.7027202,2,2
1_2_41_164_0,0.0241,0.0433,0.0315,0.2205,0.1229,0.75,-0.671721,2,2
1_2_41_165_0,0.0282,0.0468,0.0349,0.2353,0.1324,0.7416728,-0.66820276,2,2
1_2_41_171_0,0.0202,0.036,0.0228,0.2271,0.1117,0.817527,-0.7263398,2,2
1_2_41_173_0,0.0206,0.0396,0.0242,0.2725,0.1296,0.8368723,-0.7462352,2,2
1_2_41_174_0,0.0182,0.0358,0.0226,0.2324,0.1123,0.8227451,-0.733035,2,2
1_2_41_176_0,0.0194,0.0415,0.0226,0.2667,0.1139,0.8437608,-0.73069435,2,2
1_2_41_181_0,0.026,0.0439,0.0325,0.2272,0.1419,0.7497112,-0.6761343,2,2
1_2_41_182_0,0.026,0.0439,0.0325,0.2272,0.1419,0.7497112,-0.6761343,2,2
1_2_41_184_0,0.023,0.0471,0.0283,0.2573,0.135,0.80182076,-0.69053876,2,2
1_2_41_186_0,0.0185,0.0388,0.025,0.2474,0.1047,0.8164464,-0.7288609,2,2
1_2_41_189_0,0.0177,0.0338,0.0196,0.2308,0.1005,0.8434505,-0.74452,2,2
1_2_41_190_0,0.019,0.0363,0.0218,0.2491,0.1017,0.839055,-0.7456202,2,2
1_2_41_191_0,0.019,0.0363,0.0218,0.2491,0.1017,0.839055,-0.7456202,2,2
1_2_41_192_0,0.0194,0.0353,0.0208,0.2273,0.1,0.8323257,-0.73115003,2,2
